0; Time; S1posx; S1posy; S1posz; S2posx; S2posy; S2posz; S3posx; S3posy; S3posz; S4posx; S4posy; S4posz; S5posx; S5posy; S5posz; 
1; 0; -0.01906842; 1.856178; 0.04096225; 0.09862261; 1.258764; -0.1823503; -0.138603; 1.309979; -0.1621024; 0.003018722; 0.09237847; -1.040221; -0.3756074; 0.01648364; -0.9261171; 
2; 0.01; -0.01906842; 1.856178; 0.04096225; 0.09862261; 1.258764; -0.1823503; -0.138603; 1.309979; -0.1621024; 0.003018722; 0.09237847; -1.040221; -0.3756074; 0.01648364; -0.9261171; 
3; 0.02; -0.0253612; 1.855141; 0.03907824; 0.09884597; 1.258016; -0.179814; -0.1374076; 1.313462; -0.1619995; 0.003020828; 0.09238226; -1.04022; -0.3756098; 0.01648178; -0.9261038; 
4; 0.03; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
5; 0.04; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
6; 0.05; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
7; 0.06; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
8; 0.07; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
9; 0.08; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
10; 0.09; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
11; 0.09999999; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
12; 0.11; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
13; 0.12; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
14; 0.13; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
15; 0.14; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
16; 0.15; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
17; 0.16; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
18; 0.17; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
19; 0.18; 0.01207457; 1.846659; 0.03527101; 0.0953923; 1.251011; -0.1790732; -0.1055921; 1.233919; -0.1344705; 0.002969202; 0.09240969; -1.04025; -0.3756019; 0.01646549; -0.9260802; 
20; 0.19; 0.02676678; 1.845577; 0.03835168; 0.09515973; 1.221865; -0.1742944; -0.1034965; 1.257365; -0.1365803; 0.002956824; 0.09239449; -1.040251; -0.3755948; 0.01648111; -0.9260843; 
21; 0.2; 0.02676678; 1.845577; 0.03835168; 0.09515973; 1.221865; -0.1742944; -0.1034965; 1.257365; -0.1365803; 0.002956824; 0.09239449; -1.040251; -0.3755948; 0.01648111; -0.9260843; 
22; 0.21; 0.02676678; 1.845577; 0.03835168; 0.09515973; 1.221865; -0.1742944; -0.1034965; 1.257365; -0.1365803; 0.002956824; 0.09239449; -1.040251; -0.3755948; 0.01648111; -0.9260843; 
23; 0.22; 0.03938121; 1.847472; 0.04984612; 0.09269299; 1.204442; -0.160532; -0.1091067; 1.303547; -0.1443496; 0.002918098; 0.09228206; -1.040246; -0.3755886; 0.01647829; -0.9260782; 
24; 0.23; 0.03938121; 1.847472; 0.04984612; 0.09269299; 1.204442; -0.160532; -0.1091067; 1.303547; -0.1443496; 0.002918098; 0.09228206; -1.040246; -0.3755886; 0.01647829; -0.9260782; 
25; 0.24; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
26; 0.25; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
27; 0.26; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
28; 0.27; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
29; 0.28; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
30; 0.29; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
31; 0.3; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
32; 0.31; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
33; 0.32; 0.03994692; 1.849263; 0.05458903; 0.09150697; 1.205167; -0.1564495; -0.1129567; 1.320307; -0.1452456; 0.002925355; 0.09227377; -1.040244; -0.3755945; 0.01648906; -0.9260853; 
34; 0.33; -0.009152644; 1.868915; 0.08016935; 0.08225032; 1.303681; -0.1407687; -0.1260938; 1.389807; -0.1603129; 0.002922329; 0.09226146; -1.040244; -0.3756071; 0.01648364; -0.9260927; 
35; 0.34; -0.009152644; 1.868915; 0.08016935; 0.08225032; 1.303681; -0.1407687; -0.1260938; 1.389807; -0.1603129; 0.002922329; 0.09226146; -1.040244; -0.3756071; 0.01648364; -0.9260927; 
